# Log NFSe (uma linha por evento)
[2026-03-02 11:10:24] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303826020523041920 | NF=3038 | DATA=27/02/2026 | RPS=3038 | CHAVE=35060031213619319000141000000000303826020523041920 | ID_INTERNO=52304192 | ARQ=NFS_3038_27-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:29] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303726020521573310 | NF=3037 | DATA=20/02/2026 | RPS=3037 | CHAVE=35060031213619319000141000000000303726020521573310 | ID_INTERNO=52157331 | ARQ=NFS_3037_20-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:34] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303626020520066747 | NF=3036 | DATA=10/02/2026 | RPS=3036 | CHAVE=35060031213619319000141000000000303626020520066747 | ID_INTERNO=52006674 | ARQ=NFS_3036_10-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:38] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303526020518450469 | NF=3035 | DATA=06/02/2026 | RPS=3035 | CHAVE=35060031213619319000141000000000303526020518450469 | ID_INTERNO=51845046 | ARQ=NFS_3035_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:42] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303426020518448134 | NF=3034 | DATA=06/02/2026 | RPS=3034 | CHAVE=35060031213619319000141000000000303426020518448134 | ID_INTERNO=51844813 | ARQ=NFS_3034_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:47] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303326020518445298 | NF=3033 | DATA=06/02/2026 | RPS=3033 | CHAVE=35060031213619319000141000000000303326020518445298 | ID_INTERNO=51844529 | ARQ=NFS_3033_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:51] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303226020518443500 | NF=3032 | DATA=06/02/2026 | RPS=3032 | CHAVE=35060031213619319000141000000000303226020518443500 | ID_INTERNO=51844350 | ARQ=NFS_3032_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:10:57] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303126020518441317 | NF=3031 | DATA=06/02/2026 | RPS=3031 | CHAVE=35060031213619319000141000000000303126020518441317 | ID_INTERNO=51844131 | ARQ=NFS_3031_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:11:02] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000303026020518439599 | NF=3030 | DATA=06/02/2026 | RPS=3030 | CHAVE=35060031213619319000141000000000303026020518439599 | ID_INTERNO=51843959 | ARQ=NFS_3030_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:11:06] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000302926020518437286 | NF=3029 | DATA=06/02/2026 | RPS=3029 | CHAVE=35060031213619319000141000000000302926020518437286 | ID_INTERNO=51843728 | ARQ=NFS_3029_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:11:10] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000302826020518434585 | NF=3028 | DATA=06/02/2026 | RPS=3028 | CHAVE=35060031213619319000141000000000302826020518434585 | ID_INTERNO=51843458 | ARQ=NFS_3028_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:11:15] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000302726020516785905 | NF=3027 | DATA=02/02/2026 | RPS=3027 | CHAVE=35060031213619319000141000000000302726020516785905 | ID_INTERNO=51678590 | ARQ=NFS_3027_02-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:11:19] STATUS=OK | CHAVE_UNICA=35060031213619319000141000000000302626020516674387 | NF=3026 | DATA=02/02/2026 | RPS=3026 | CHAVE=35060031213619319000141000000000302626020516674387 | ID_INTERNO=51667438 | ARQ=NFS_3026_02-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\BASE_PROMO_C\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:11:20] STATUS=SKIP_FORA_COMPETENCIA | CHAVE_UNICA=35060031213619319000141000000000302526010513996501 | NF=3025 | DATA=19/01/2026 | RPS=3025 | CHAVE=35060031213619319000141000000000302526010513996501 | ID_INTERNO=51399650 | MSG=Nota mais antiga que mês alvo 02/2026
