# Log NFSe (uma linha por evento)
[2026-03-02 11:31:28] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000152026020518670067 | NF=1520 | DATA=06/02/2026 | RPS=1520 | CHAVE=35060031203222292000103000000000152026020518670067 | ID_INTERNO=51867006 | ARQ=NFS_1520_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:31:33] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151926020518624952 | NF=1519 | DATA=06/02/2026 | RPS=1519 | CHAVE=35060031203222292000103000000000151926020518624952 | ID_INTERNO=51862495 | ARQ=NFS_1519_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:31:38] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151826020518619670 | NF=1518 | DATA=06/02/2026 | RPS=1518 | CHAVE=35060031203222292000103000000000151826020518619670 | ID_INTERNO=51861967 | ARQ=NFS_1518_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:31:43] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151726020518614607 | NF=1517 | DATA=06/02/2026 | RPS=1517 | CHAVE=35060031203222292000103000000000151726020518614607 | ID_INTERNO=51861460 | ARQ=NFS_1517_06-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:31:47] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151626020517985047 | NF=1516 | DATA=05/02/2026 | RPS=1516 | CHAVE=35060031203222292000103000000000151626020517985047 | ID_INTERNO=51798504 | ARQ=NFS_1516_05-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:31:52] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151526020517909010 | NF=1515 | DATA=05/02/2026 | RPS=1515 | CHAVE=35060031203222292000103000000000151526020517909010 | ID_INTERNO=51790901 | ARQ=NFS_1515_05-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:31:56] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151426020517903400 | NF=1514 | DATA=05/02/2026 | RPS=1514 | CHAVE=35060031203222292000103000000000151426020517903400 | ID_INTERNO=51790340 | ARQ=NFS_1514_05-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:32:00] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151326020517897651 | NF=1513 | DATA=05/02/2026 | RPS=1513 | CHAVE=35060031203222292000103000000000151326020517897651 | ID_INTERNO=51789765 | ARQ=NFS_1513_05-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:32:05] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151226020516811822 | NF=1512 | DATA=02/02/2026 | RPS=1512 | CHAVE=35060031203222292000103000000000151226020516811822 | ID_INTERNO=51681182 | ARQ=NFS_1512_02-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:32:09] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151126020516781474 | NF=1511 | DATA=02/02/2026 | RPS=1511 | CHAVE=35060031203222292000103000000000151126020516781474 | ID_INTERNO=51678147 | ARQ=NFS_1511_02-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:32:14] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000151026020516776400 | NF=1510 | DATA=02/02/2026 | RPS=1510 | CHAVE=35060031203222292000103000000000151026020516776400 | ID_INTERNO=51677640 | ARQ=NFS_1510_02-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:32:18] STATUS=OK | CHAVE_UNICA=35060031203222292000103000000000150926020516764762 | NF=1509 | DATA=02/02/2026 | RPS=1509 | CHAVE=35060031203222292000103000000000150926020516764762 | ID_INTERNO=51676476 | ARQ=NFS_1509_02-02-2026.xml | PASTA=C:\Users\Windows 11\Desktop\NFS XML\automacao-nfse\downloads\CONSTRUFIC_CONST_REINF_DARF_CHAFIC\02.2026 | MSG=OK (download confirmado por arquivo)
[2026-03-02 11:32:19] STATUS=SKIP_FORA_COMPETENCIA | CHAVE_UNICA=35060031203222292000103000000000150826010512960647 | NF=1508 | DATA=09/01/2026 | RPS=1508 | CHAVE=35060031203222292000103000000000150826010512960647 | ID_INTERNO=51296064 | MSG=Nota mais antiga que mês alvo 02/2026
