timestamp_inicio;timestamp_fim;codigo_empresa;razao_social;cnpj;segmento;status;motivo;tentativas
2026-03-02 10:47:20;2026-03-02 10:49:42;833;A. B. S. REPRESENTACOES;41.570.055.0001-14;SERVIÇO;SUCESSO;OK;1
2026-03-02 10:49:42;2026-03-02 10:54:12;164;A. C. J. COM. SUCATAS LTDA (manda  arquivo)  [DARF GONÇALO];02.873.934.0001-63;COMÉRCIO;SUCESSO_SEM_COMPETENCIA;Sem notas na competencia alvo;1
2026-03-02 10:54:12;2026-03-02 10:55:08;115;A. E. GUEDES COMERCIO [manda arquivo];30.792.052.0001-09;COMÉRCIO/SERVIÇO;SUCESSO_SEM_COMPETENCIA;Sem notas na competencia alvo;1
2026-03-02 10:55:08;2026-03-02 10:56:34;554;A. L. G. PEREIRA;24.125.988.0001-83;SERVIÇO;SUCESSO;OK;1
2026-03-02 10:56:34;2026-03-02 10:56:42;913;A. P. G. COM. - FILIAL - MG - UBERLANDIA    MANDAR NO WHATS;14.128.421.0003-79;COMÉRCIO;SUCESSO;Revisar manualmente: credencial inválida (usuário/senha) no portal;1
2026-03-02 10:56:42;2026-03-02 10:56:50;413;A. P. G. COM. COL. LTDA (manda  arquivo) MANDAR NO WHATS;14.128.421.0001-07;COMÉRCIO;SUCESSO_SEM_SERVICOS;Contribuinte sem modulo de Nota Fiscal;1
2026-03-02 10:56:50;2026-03-02 10:57:01;1008;A. P. G. TOP 20 - [(MG) MATRIZ];58.150.107.0001-04;COMÉRCIO;FALHA;Falha execucao (exit=1);3
2026-03-02 10:57:01;2026-03-02 11:02:25;947;AKIKO OKA   (NOTA MANUAL);36.557.425.0001-43;COMÉRCIO/SERVIÇO;SUCESSO_SEM_COMPETENCIA;Sem notas na competencia alvo;1
2026-03-02 11:02:25;2026-03-02 11:04:08;901;ALEJANDRA DVZ;46.267.438.0001-31;SERVIÇO;SUCESSO;OK;1
2026-03-02 11:04:08;2026-03-02 11:04:16;926;ALESSANDRA PRADO LOJA (manda  arquivo) pegar pref.sp Tbm;35.665.896.0001-02;COMÉRCIO;SUCESSO;Revisar manualmente: credencial inválida (usuário/senha) no portal;1
2026-03-02 11:04:16;2026-03-02 11:04:24;1042;ALESSANDRA PRADO TRADUÇÃO   pegar pref.sp Tbm;62.963.591.0001-50;SERVIÇO;SUCESSO;Revisar manualmente: credencial inválida (usuário/senha) no portal;1
2026-03-02 11:04:24;2026-03-02 11:05:40;366;ALLFISIO LTDA ME;11.426.622.0001-00;SERVIÇO;SUCESSO;OK;1
2026-03-02 11:05:40;2026-03-02 11:05:51;1067;AMANTINI E LAMONICA TREIN. SERV.;62.891.485.0001-08;COMÉRCIO/SERVIÇO;FALHA;Falha execucao (exit=1);3
2026-03-02 11:05:51;2026-03-02 11:06:37;940;ANTONELO TEXTIL IMPORT. E EXP. (05) ver se ñ tem nd em aberto;53.428.965.0001-46;COMÉRCIO;SUCESSO_SEM_COMPETENCIA;Sem notas na competencia alvo;1
2026-03-02 11:06:37;2026-03-02 11:07:58;823;ARAUJO & REHDER ASSESSORIA EM PESQUISA E;41.316.446.0001-07;SERVIÇO;SUCESSO;OK;1
2026-03-02 11:07:58;2026-03-02 11:08:05;1052;AUR4;59.555.872.0001-69;SERVIÇO;SUCESSO;Revisar manualmente: credencial inválida (usuário/senha) no portal;1
2026-03-02 11:08:05;2026-03-02 11:08:58;1002;B H S CAMARGO TRANSPORTES;37.329.920.0001-68;SERVIÇO;SUCESSO_SEM_COMPETENCIA;Sem notas na competencia alvo;1
